"","Site","Treatment","ID","Species","Year.Harvested","TOTAL.BIOMASS..kg.","Initial.Biomass..g.","Initial.Biomass..kg.","rrg","fire","herb"
"40","Tiendega",1,1,"Detarium microcarpum",2011,0.0264683771,9878.884407,9.878884407,0.00267570517233562,"y","y"
"41","Tiendega",1,2,"Detarium microcarpum",2011,0.1515218687,1587.78867,1.58778867,0.0911465179513316,"y","y"
"42","Tiendega",1,4,"Detarium microcarpum",2011,0.0759527342,3101.449616,3.101449616,0.0241943717085091,"y","y"
"43","Tiendega",1,6,"Detarium microcarpum",2011,0.2339957973,15084.8552,15.0848552,0.0153928876979408,"y","y"
"44","Tiendega",1,9,"Detarium microcarpum",2011,0.1319582857,6979.063929,6.979063929,0.0187312046995705,"y","y"
"45","Tiendega",1,11,"Detarium microcarpum",2011,0.4603196012,25141.81238,25.14181238,0.0181433364822081,"y","y"
"46","Tiendega",1,14,"Detarium microcarpum",2011,0.118915897,1587.78867,1.58778867,0.0722220827392783,"y","y"
"47","Tiendega",1,17,"Detarium microcarpum",2011,0.0007671993,2950.119434,2.950119434,0.000260023221658301,"y","y"
"48","Tiendega",1,18,"Detarium microcarpum",2011,0.2754245614,19206.65891,19.20665891,0.0142382097437981,"y","y"
"49","Tiendega",1,19,"Detarium microcarpum",2011,0.1380958804,1056.893197,1.056893197,0.12280338682719,"y","y"
"50","Tiendega",2,2,"Detarium microcarpum",2011,0.3452397009,7508.06936,7.50806936,0.0449566225656142,"y","n"
"51","Tiendega",2,3,"Detarium microcarpum",2011,0.0655955432,15946.16279,15.94616279,0.0041051253030755,"y","n"
"52","Tiendega",2,4,"Detarium microcarpum",2011,0.118915897,11938.43564,11.93843564,0.00991147901258183,"y","n"
"53","Tiendega",2,6,"Detarium microcarpum",2011,0.0533203538,8062.05334,8.06205334,0.0065919687686522,"y","n"
"54","Tiendega",2,8,"Detarium microcarpum",2011,0.2761917607,32136.21692,32.13621692,0.00855768635442899,"y","n"
"55","Tiendega",2,10,"Detarium microcarpum",2011,0.1285058887,20724.64504,20.72464504,0.00618148677188124,"y","n"
"56","Tiendega",2,13,"Detarium microcarpum",2011,0.237831794,5993.965207,5.993965207,0.0389115701461429,"y","n"
"57","Tiendega",2,14,"Detarium microcarpum",2011,0.7671993354,23421.28764,23.42128764,0.0322314381251134,"y","n"
"58","Tiendega",2,17,"Detarium microcarpum",2011,0.0955163173,4690.92776,4.69092776,0.0201573923877063,"y","n"
"59","Tiendega",2,19,"Detarium microcarpum",2011,0.1718526511,34237.55046,34.23755046,0.00500686486930535,"y","n"
"60","Tiendega",3,1,"Detarium microcarpum",2011,0.1288894883,9559.583125,9.559583125,0.0133926684911172,"n","y"
"61","Tiendega",3,3,"Detarium microcarpum",2011,0.0303043737,5536.8525,5.5368525,0.0054582895093247,"n","y"
"62","Tiendega",3,4,"Detarium microcarpum",2011,0.5600555148,15084.8552,15.0848552,0.0364543965310435,"n","y"
"63","Tiendega",3,7,"Detarium microcarpum",2011,0.7250033719,34237.55046,34.23755046,0.0209545898201875,"n","y"
"64","Tiendega",3,8,"Detarium microcarpum",2011,0.5792354982,10537.77657,10.53777657,0.0535099845666487,"n","y"
"65","Tiendega",3,12,"Detarium microcarpum",2011,0.2224878073,25141.81238,25.14181238,0.00881038888834329,"n","y"
"66","Tiendega",3,14,"Detarium microcarpum",2011,0.3874356644,4989.493944,4.989493944,0.0747830159087604,"n","y"
"67","Tiendega",3,15,"Detarium microcarpum",2011,0.6636274251,NA,NA,NA,"n","y"
"68","Tiendega",3,18,"Detarium microcarpum",2011,0.005753995,3592.681571,3.592681571,0.00160030663341137,"n","y"
"69","Tiendega",3,20,"Detarium microcarpum",2011,0.0283863754,2661.818786,2.661818786,0.010607815608328,"n","y"
"70","Tiendega",4,3,"Detarium microcarpum",2011,NA,15946.16279,15.94616279,NA,"n","n"
"71","Tiendega",4,5,"Detarium microcarpum",2011,0.1089423056,15084.8552,15.0848552,0.00719601210584964,"n","n"
"72","Tiendega",4,8,"Detarium microcarpum",2011,0.1860458388,25141.81238,25.14181238,0.00737261326688365,"n","n"
"73","Tiendega",4,9,"Detarium microcarpum",2011,0.3222237209,15946.16279,15.94616279,0.0200055238732708,"n","n"
"74","Tiendega",4,10,"Detarium microcarpum",2011,0.2685197674,21778.01276,21.77801276,0.012254462697709,"n","n"
"75","Tiendega",4,12,"Detarium microcarpum",2011,0.0464155598,3584.971678,3.584971678,0.0128641605651876,"n","n"
"76","Tiendega",4,13,"Detarium microcarpum",2011,0.4181236378,13849.66861,13.84966861,0.0297434014100793,"n","n"
"77","Tiendega",4,14,"Detarium microcarpum",2011,0.1219846943,8062.05334,8.06205334,0.0150173951385377,"n","n"
"78","Tiendega",4,16,"Detarium microcarpum",2011,0.8055593021,25141.81238,25.14181238,0.0315380285042481,"n","n"
"79","Tiendega",4,20,"Detarium microcarpum",2011,0.0970507159,11577.75887,11.57775887,0.00834757499076355,"n","n"
"80","Lakamane",1,1,"Combretum glutinosum",2011,0.9378249407,16648.33572,16.64833572,0.0548020119573036,"y","y"
"81","Lakamane",1,2,"Combretum glutinosum",2011,1.9336053553,42194.95302,42.19495302,0.0448065378610245,"y","y"
"82","Lakamane",1,3,"Combretum glutinosum",2011,0.1938874035,8971.265862,8.971265862,0.0213818162119996,"y","y"
"83","Lakamane",1,6,"Combretum glutinosum",2011,0.8166453136,38101.01505,38.10101505,0.0212072180131648,"y","y"
"84","Lakamane",1,10,"Combretum glutinosum",2011,0.0621704174,14665.61595,14.66561595,0.00423023571342451,"y","y"
"85","Lakamane",1,12,"Combretum glutinosum",2011,0.1369856655,4690.92776,4.69092776,0.0287839917960426,"y","y"
"86","Lakamane",1,14,"Combretum glutinosum",2011,1.2170649512,31135.77759,31.13577759,0.0383443226393401,"y","y"
"87","Lakamane",1,15,"Combretum glutinosum",2011,0.3951509582,18704.12298,18.70412298,0.0209063408509844,"y","y"
"88","Lakamane",1,16,"Combretum glutinosum",2011,0.0937824941,12752.9811,12.7529811,0.00732686319832343,"y","y"
"89","Lakamane",1,19,"Combretum glutinosum",2011,1.9283366759,28147.62077,28.14762077,0.0662632653312576,"y","y"
"90","Lakamane",2,4,"Combretum glutinosum",2011,0.2581652927,6831.669625,6.831669625,0.0370929581301345,"y","n"
"91","Lakamane",2,5,"Combretum glutinosum",2011,0.1670171383,2825.933026,2.825933026,0.0574209932201923,"y","n"
"92","Lakamane",2,6,"Combretum glutinosum",2011,0.4952558676,9035.280049,9.035280049,0.0533640311961303,"y","n"
"93","Lakamane",2,7,"Combretum glutinosum",2011,1.0642732473,21120.65416,21.12065416,0.0491616808299233,"y","n"
"94","Lakamane",2,9,"Combretum glutinosum",2011,0.0837720031,4493.297336,4.493297336,0.0184721055134716,"y","n"
"95","Lakamane",2,12,"Combretum glutinosum",2011,0.1849306484,4114.199676,4.114199676,0.0439684263200715,"y","n"
"96","Lakamane",2,14,"Combretum glutinosum",2011,0.0979974376,5536.8525,5.5368525,0.0175443182082748,"y","n"
"97","Lakamane",2,18,"Combretum glutinosum",2011,0.0716540404,3101.449616,3.101449616,0.0228405600745736,"y","n"
"98","Lakamane",2,19,"Combretum glutinosum",2011,0.1475230244,11224.1307,11.2241307,0.0130577560611203,"y","n"
"99","Lakamane",2,20,"Combretum glutinosum",2011,0.1164378157,841.1542139,0.8411542139,0.129646818059117,"y","n"
"100","Lakamane",3,2,"Combretum glutinosum",2011,0.4004196376,44676.6052,44.6766052,0.00892269859238404,"n","y"
"101","Lakamane",3,5,"Combretum glutinosum",2011,0.3793449198,35733.29727,35.73329727,0.0105600524638474,"n","y"
"102","Lakamane",3,6,"Combretum glutinosum",2011,0.2370905749,7190.257528,7.190257528,0.0324418888934968,"n","y"
"103","Lakamane",3,7,"Combretum glutinosum",2011,1.1538407979,30790.90996,30.79090996,0.0367883565472455,"n","y"
"104","Lakamane",3,8,"Combretum glutinosum",2011,0.1765007613,3584.971678,3.584971678,0.0480599130600099,"n","y"
"105","Lakamane",3,11,"Combretum glutinosum",2011,0.3635388815,37931.40762,37.93140762,0.00953847634437954,"n","y"
"106","Lakamane",3,12,"Combretum glutinosum",2011,0.2534234812,14253.90699,14.25390699,0.0176230275447669,"n","y"
"107","Lakamane",3,13,"Combretum glutinosum",2011,0.8640634285,18341.33104,18.34133104,0.0460341614869288,"n","y"
"108","Lakamane",3,17,"Combretum glutinosum",2011,0.321389446,8641.518062,8.641518062,0.0365164040066372,"n","y"
"109","Lakamane",3,18,"Combretum glutinosum",2011,0.0932556261,1305.113364,1.305113364,0.0690166444342359,"n","y"
"110","Lakamane",4,2,"Combretum glutinosum",2011,0.1412006091,3584.971678,3.584971678,0.0386309363867656,"n","n"
"111","Lakamane",4,4,"Combretum glutinosum",2011,0.6217041742,15717.42804,15.71742804,0.038792817027129,"n","n"
"112","Lakamane",4,7,"Combretum glutinosum",2011,0.1106422683,3101.449616,3.101449616,0.035052781988109,"n","n"
"113","Lakamane",4,8,"Combretum glutinosum",2011,2.3603683901,NA,NA,NA,"n","n"
"114","Lakamane",4,10,"Combretum glutinosum",2011,0.453106432,12222.35288,12.22235288,0.0364013078729406,"n","n"
"115","Lakamane",4,12,"Combretum glutinosum",2011,0.3635388815,26332.5095,26.3325095,0.0137112752607313,"n","n"
"116","Lakamane",4,13,"Combretum glutinosum",2011,0.0964168338,12225.24999,12.22524999,0.00785575886194678,"n","n"
"117","Lakamane",4,16,"Combretum glutinosum",2011,1.0800792857,37931.40762,37.93140762,0.0280766727998634,"n","n"
"153","Tiendega",1,3,"Detarium microcarpum",2013,0.5,22865.02265,22.86502265,0.00721059928136099,"y","y"
"154","Tiendega",1,5,"Detarium microcarpum",2013,1.625,8641.518062,8.641518062,0.0574365525745102,"y","y"
"155","Tiendega",1,7,"Detarium microcarpum",2013,0.435,981.4696443,0.9814696443,0.12229060119803,"y","y"
"156","Tiendega",1,8,"Detarium microcarpum",2013,0.25,13063.36404,13.06336404,0.00631889054542626,"y","y"
"157","Tiendega",1,10,"Detarium microcarpum",2013,NA,51435.65579,51.43565579,NA,"y","y"
"158","Tiendega",1,12,"Detarium microcarpum",2013,0.75,18716.98169,18.71698169,0.0130961867331315,"y","y"
"159","Tiendega",1,13,"Detarium microcarpum",2013,9.475,15084.8552,15.0848552,0.162473977956826,"y","y"
"160","Tiendega",1,15,"Detarium microcarpum",2013,1,30119.27744,30.11927744,0.0108873557545088,"y","y"
"161","Tiendega",1,16,"Detarium microcarpum",2013,10.875,18235.36628,18.23536628,0.155910476530187,"y","y"
"162","Tiendega",1,20,"Detarium microcarpum",2013,8.475,26332.5095,26.3325095,0.0930096250771819,"y","y"
"163","Tiendega",2,1,"Detarium microcarpum",2013,1.55,6474.531926,6.474531926,0.0715423415950186,"y","n"
"164","Tiendega",2,5,"Detarium microcarpum",2013,0.5,1489.614723,1.489614723,0.0964745007021046,"y","n"
"165","Tiendega",2,7,"Detarium microcarpum",2013,1.625,13849.66861,13.84966861,0.0369810328435024,"y","n"
"166","Tiendega",2,9,"Detarium microcarpum",2013,0.375,27558.68342,27.55868342,0.0045051926934739,"y","n"
"167","Tiendega",2,11,"Detarium microcarpum",2013,4.875,13849.66861,13.84966861,0.100526842081697,"y","n"
"168","Tiendega",2,12,"Detarium microcarpum",2013,0.925,7240.475826,7.240475826,0.0400760249881572,"y","n"
"169","Tiendega",2,15,"Detarium microcarpum",2013,0.975,3932.600747,3.932600747,0.0738280671512677,"y","n"
"170","Tiendega",2,16,"Detarium microcarpum",2013,1,4301.076551,4.301076551,0.0696815235664781,"y","n"
"171","Tiendega",2,18,"Detarium microcarpum",2013,0.25,1906.860947,1.906860947,0.0410651641972537,"y","n"
"172","Tiendega",2,20,"Detarium microcarpum",2013,0.5,11224.1307,11.2241307,0.0145277278121753,"y","n"
"173","Tiendega",3,2,"Detarium microcarpum",2013,1.125,15946.16279,15.94616279,0.0227241435168173,"n","y"
"174","Tiendega",3,5,"Detarium microcarpum",2013,0.75,15084.8552,15.0848552,0.0161740873408611,"n","y"
"175","Tiendega",3,6,"Detarium microcarpum",2013,2,10204.92839,10.20492839,0.0596563524904887,"n","y"
"176","Tiendega",3,9,"Detarium microcarpum",2013,0.975,10204.92839,10.20492839,0.0304164278099576,"n","y"
"177","Tiendega",3,10,"Detarium microcarpum",2013,1.475,3257.656781,3.257656781,0.124492858010891,"n","y"
"178","Tiendega",3,11,"Detarium microcarpum",2013,2,4301.076551,4.301076551,0.127285049282634,"n","y"
"179","Tiendega",3,13,"Detarium microcarpum",2013,1.375,1690.006966,1.690006966,0.198439063774182,"n","y"
"180","Tiendega",3,16,"Detarium microcarpum",2013,0.375,1056.893197,1.056893197,0.101221274797657,"n","y"
"181","Tiendega",3,17,"Detarium microcarpum",2013,0.25,1906.860947,1.906860947,0.0410651641972537,"n","y"
"182","Tiendega",3,19,"Detarium microcarpum",2013,0.55,1796.340785,1.796340785,0.0890351010968223,"n","y"
"183","Tiendega",4,1,"Detarium microcarpum",2013,2.125,1796.340785,1.796340785,0.260227311257073,"n","n"
"184","Tiendega",4,2,"Detarium microcarpum",2013,2.475,25732.75481,25.73275481,0.0306107489231793,"n","n"
"185","Tiendega",4,4,"Detarium microcarpum",2013,8.55,30782.30688,30.78230688,0.0817020554050381,"n","n"
"186","Tiendega",4,6,"Detarium microcarpum",2013,6.125,18235.36628,18.23536628,0.0965315227159937,"n","n"
"187","Tiendega",4,7,"Detarium microcarpum",2013,0.825,4426.125892,4.426125892,0.0569726080881304,"n","n"
"188","Tiendega",4,11,"Detarium microcarpum",2013,0.975,41870.81322,41.87081322,0.00767297670381758,"n","n"
"189","Tiendega",4,15,"Detarium microcarpum",2013,0.625,50513.73145,50.51373145,0.00409898496593867,"n","n"
"190","Tiendega",4,17,"Detarium microcarpum",2013,0.88,6231.284786,6.231284786,0.0440334638455044,"n","n"
"191","Tiendega",4,18,"Detarium microcarpum",2013,0.07876,25141.81238,25.14181238,0.00104257790256964,"n","n"
"192","Tiendega",4,19,"Detarium microcarpum",2013,0.10516,16388.34988,16.38834988,0.00213208456564074,"n","n"
"193","Lakamane",1,4,"Combretum glutinosum",2013,3.08,5090.8613,5.0908613,0.15770909839976,"y","y"
"194","Lakamane",1,5,"Combretum glutinosum",2013,2.024,9632.685388,9.632685388,0.0635726083470998,"y","y"
"195","Lakamane",1,7,"Combretum glutinosum",2013,0.22,17761.75413,17.76175413,0.00410336102791042,"y","y"
"196","Lakamane",1,8,"Combretum glutinosum",2013,1.76,2983.202261,2.983202261,0.154571727433387,"y","y"
"197","Lakamane",1,9,"Combretum glutinosum",2013,2.2,56528.40065,56.52840065,0.012726752894897,"y","y"
"198","Lakamane",1,11,"Combretum glutinosum",2013,0.88,21514.8943,21.5148943,0.0133625154725339,"y","y"
"199","Lakamane",1,13,"Combretum glutinosum",2013,0.616,72383.48014,72.38348014,0.00282474041974101,"y","y"
"200","Lakamane",1,17,"Combretum glutinosum",2013,0.22,16388.34988,16.38834988,0.00444495483080409,"y","y"
"201","Lakamane",1,18,"Combretum glutinosum",2013,NA,49325.93634,49.32593634,NA,"y","y"
"202","Lakamane",1,20,"Combretum glutinosum",2013,0.638,31454.60133,31.45460133,0.00669341225414621,"y","y"
"203","Lakamane",2,1,"Combretum glutinosum",2013,1.1,3932.600747,3.932600747,0.0822119743040569,"y","n"
"204","Lakamane",2,2,"Combretum glutinosum",2013,1.716,41969.11235,41.96911235,0.0133578126921958,"y","n"
"205","Lakamane",2,3,"Combretum glutinosum",2013,0.66,9095.414823,9.095414823,0.0233506921256454,"y","n"
"206","Lakamane",2,8,"Combretum glutinosum",2013,0.22,3418.8084,3.4188084,0.0207880653690924,"y","n"
"207","Lakamane",2,10,"Combretum glutinosum",2013,0.44,87766.52263,87.76652263,0.00166692543281588,"y","n"
"208","Lakamane",2,11,"Combretum glutinosum",2013,0.5896,981.4696443,0.9814696443,0.15682029436354,"y","n"
"209","Lakamane",2,13,"Combretum glutinosum",2013,0.27632,6231.284786,6.231284786,0.01446297429348,"y","n"
"210","Lakamane",2,15,"Combretum glutinosum",2013,1.364,3418.8084,3.4188084,0.111911945348655,"y","n"
"211","Lakamane",2,16,"Combretum glutinosum",2013,1.144,11938.43564,11.93843564,0.030502486249259,"y","n"
"212","Lakamane",2,17,"Combretum glutinosum",2013,NA,9287.616165,9.287616165,NA,"y","n"
"213","Lakamane",3,1,"Combretum glutinosum",2013,0.44,7929.062062,7.929062062,0.0180023557492883,"n","y"
"214","Lakamane",3,3,"Combretum glutinosum",2013,0.22,9878.884407,9.878884407,0.00734179062697941,"n","y"
"215","Lakamane",3,9,"Combretum glutinosum",2013,1.1,11938.43564,11.93843564,0.0293795006963264,"n","y"
"216","Lakamane",3,10,"Combretum glutinosum",2013,0.03256,9246.962883,9.246962883,0.00117165712319611,"n","y"
"217","Lakamane",3,14,"Combretum glutinosum",2013,0.06204,16061.02954,16.06102954,0.00128510824947462,"n","y"
"218","Lakamane",3,15,"Combretum glutinosum",2013,0.704,17767.39094,17.76739094,0.0129527639721105,"n","y"
"219","Lakamane",3,16,"Combretum glutinosum",2013,0.08712,24559.62518,24.55962518,0.00118033620977487,"n","y"
"220","Lakamane",3,19,"Combretum glutinosum",2013,0.12144,23454.23215,23.45423215,0.00172146171982372,"n","y"
"221","Lakamane",3,20,"Combretum glutinosum",2013,2.068,1305.113364,1.305113364,0.316515419599126,"n","y"
"222","Lakamane",4,1,"Combretum glutinosum",2013,1.27028,13063.36404,13.06336404,0.0309326099531659,"n","n"
"223","Lakamane",4,3,"Combretum glutinosum",2013,0.50424,16195.72034,16.19572034,0.0102197712584104,"n","n"
"224","Lakamane",4,5,"Combretum glutinosum",2013,1.7072,19814.29109,19.81429109,0.0275495239638682,"n","n"
"225","Lakamane",4,6,"Combretum glutinosum",2013,1.584,37931.40762,37.93140762,0.0136370653913163,"n","n"
"226","Lakamane",4,9,"Combretum glutinosum",2013,5.72,113284.6753,113.2846753,0.0164196264707034,"n","n"
"227","Lakamane",4,11,"Combretum glutinosum",2013,0.07964,8574.587529,8.574587529,0.00308168096963968,"n","n"
"228","Lakamane",4,14,"Combretum glutinosum",2013,1.144,12616.00932,12.61600932,0.028933307141878,"n","n"
"229","Lakamane",4,15,"Combretum glutinosum",2013,0.13244,23933.08972,23.93308972,0.0018395020197756,"n","n"
