Site,Treatment,ID,Species,Year Harvested,TOTAL BIOMASS (kg),Initial Biomass (g),Initial Biomass (kg)
Tiorola,1,3,Pteleopsis suberosa,2011,0.0178431074,2021.637926,2.021637926
Tiorola,1,5,Pteleopsis suberosa,2011,0.0563679983,3418.8084,3.4188084
Tiorola,1,6,Combretum geitynophylum,2011,,18716.98169,18.71698169
Tiorola,1,7,Combretum geitynophylum,2011,0.3334194451,50513.73145,50.51373145
Tiorola,1,8,Combretum geitynophylum,2011,0.0756605664,15084.8552,15.0848552
Tiorola,1,10,Pteleopsis suberosa,2011,0.0137878557,2140.741865,2.140741865
Tiorola,1,12,Pteleopsis suberosa,2011,0.0336585889,45203.75698,45.20375698
Tiorola,1,13,Pteleopsis suberosa,2011,0.0016221007,19206.65891,19.20665891
Tiorola,1,14,Combretum geitynophylum,2011,0.3932639609,6723.770436,6.723770436
Tiorola,1,15,Combretum geitynophylum,2011,2.0475373614,65167.27176,65.16727176
Tiorola,2,2,Combretum geitynophylum,2011,0.4189116105,96258.44492,96.25844492
Tiorola,2,4,Combretum geitynophylum,2011,0.2735749293,19704.45635,19.70445635
Tiorola,2,5,Combretum geitynophylum,2011,0.3932639609,29465.45675,29.46545675
Tiorola,2,6,Combretum geitynophylum,2011,0.2180050218,86776.61541,86.77661541
Tiorola,2,9,Combretum geitynophylum,2011,0.0769429489,10204.92839,10.20492839
Tiorola,2,10,Pteleopsis suberosa,2011,0.002433151,2140.741865,2.140741865
Tiorola,2,13,Pteleopsis suberosa,2011,0.0133823305,1587.78867,1.58778867
Tiorola,2,15,Pteleopsis suberosa,2011,0.0036497265,1395.413591,1.395413591
Tiorola,2,8,Combretum geitynophylum,2011,0.5129529924,,
Tiorola,3,4,Pteleopsis suberosa,2011,0.0198707332,2140.741865,2.140741865
Tiorola,3,5,Combretum geitynophylum,2011,0.5727975082,16838.30479,16.83830479
Tiorola,3,6,Pteleopsis suberosa,2011,,1305.113364,1.305113364
Tiorola,3,7,Pteleopsis suberosa,2011,0.0360917399,1587.78867,1.58778867
Tiorola,3,8,Pteleopsis suberosa,2011,0.0932707885,4493.297336,4.493297336
Tiorola,3,10,Combretum geitynophylum,2011,0.0645465849,6084.148946,6.084148946
Tiorola,3,11,Pteleopsis suberosa,2011,,51435.65579,51.43565579
Tiorola,3,12,Combretum geitynophylum,2011,0.8762946954,118490.5883,118.4905883
Tiorola,3,14,Pteleopsis suberosa,2011,,3932.600747,3.932600747
Tiorola,3,17,Combretum geitynophylum,2011,1.0088075518,21263.09354,21.26309354
Tiorola,4,4,Pteleopsis suberosa,2011,0,68788.45499,68.78845499
Tiorola,4,8,Pteleopsis suberosa,2011,0.0673171778,6474.531926,6.474531926
Tiorola,4,10,Pteleopsis suberosa,2011,,26249.88431,26.24988431
Tiorola,4,11,Pteleopsis suberosa,2011,0.0052718272,1587.78867,1.58778867
Tiorola,4,12,Pteleopsis suberosa,2011,0.0214928339,5536.8525,5.5368525
Tiorola,4,13,Combretum geitynophylum,2011,0.5001291676,8641.518062,8.641518062
Tiorola,4,14,Combretum geitynophylum,2011,0.0812175571,14253.90699,14.25390699
Tiorola,4,16,Combretum geitynophylum,2011,0.8036263548,130500.755,130.500755
Tiorola,4,17,Combretum geitynophylum,2011,0.5086783842,26941.13343,26.94113343
Tiorola,4,20,Combretum geitynophylum,2011,0.538600642,25141.81238,25.14181238
Tiendega,1,1,Detarium microcarpum,2011,0.0264683771,9878.884407,9.878884407
Tiendega,1,2,Detarium microcarpum,2011,0.1515218687,1587.78867,1.58778867
Tiendega,1,4,Detarium microcarpum,2011,0.0759527342,3101.449616,3.101449616
Tiendega,1,6,Detarium microcarpum,2011,0.2339957973,15084.8552,15.0848552
Tiendega,1,9,Detarium microcarpum,2011,0.1319582857,6979.063929,6.979063929
Tiendega,1,11,Detarium microcarpum,2011,0.4603196012,25141.81238,25.14181238
Tiendega,1,14,Detarium microcarpum,2011,0.118915897,1587.78867,1.58778867
Tiendega,1,17,Detarium microcarpum,2011,0.0007671993,2950.119434,2.950119434
Tiendega,1,18,Detarium microcarpum,2011,0.2754245614,19206.65891,19.20665891
Tiendega,1,19,Detarium microcarpum,2011,0.1380958804,1056.893197,1.056893197
Tiendega,2,2,Detarium microcarpum,2011,0.3452397009,7508.06936,7.50806936
Tiendega,2,3,Detarium microcarpum,2011,0.0655955432,15946.16279,15.94616279
Tiendega,2,4,Detarium microcarpum,2011,0.118915897,11938.43564,11.93843564
Tiendega,2,6,Detarium microcarpum,2011,0.0533203538,8062.05334,8.06205334
Tiendega,2,8,Detarium microcarpum,2011,0.2761917607,32136.21692,32.13621692
Tiendega,2,10,Detarium microcarpum,2011,0.1285058887,20724.64504,20.72464504
Tiendega,2,13,Detarium microcarpum,2011,0.237831794,5993.965207,5.993965207
Tiendega,2,14,Detarium microcarpum,2011,0.7671993354,23421.28764,23.42128764
Tiendega,2,17,Detarium microcarpum,2011,0.0955163173,4690.92776,4.69092776
Tiendega,2,19,Detarium microcarpum,2011,0.1718526511,34237.55046,34.23755046
Tiendega,3,1,Detarium microcarpum,2011,0.1288894883,9559.583125,9.559583125
Tiendega,3,3,Detarium microcarpum,2011,0.0303043737,5536.8525,5.5368525
Tiendega,3,4,Detarium microcarpum,2011,0.5600555148,15084.8552,15.0848552
Tiendega,3,7,Detarium microcarpum,2011,0.7250033719,34237.55046,34.23755046
Tiendega,3,8,Detarium microcarpum,2011,0.5792354982,10537.77657,10.53777657
Tiendega,3,12,Detarium microcarpum,2011,0.2224878073,25141.81238,25.14181238
Tiendega,3,14,Detarium microcarpum,2011,0.3874356644,4989.493944,4.989493944
Tiendega,3,15,Detarium microcarpum,2011,0.6636274251,,
Tiendega,3,18,Detarium microcarpum,2011,0.005753995,3592.681571,3.592681571
Tiendega,3,20,Detarium microcarpum,2011,0.0283863754,2661.818786,2.661818786
Tiendega,4,3,Detarium microcarpum,2011,,15946.16279,15.94616279
Tiendega,4,5,Detarium microcarpum,2011,0.1089423056,15084.8552,15.0848552
Tiendega,4,8,Detarium microcarpum,2011,0.1860458388,25141.81238,25.14181238
Tiendega,4,9,Detarium microcarpum,2011,0.3222237209,15946.16279,15.94616279
Tiendega,4,10,Detarium microcarpum,2011,0.2685197674,21778.01276,21.77801276
Tiendega,4,12,Detarium microcarpum,2011,0.0464155598,3584.971678,3.584971678
Tiendega,4,13,Detarium microcarpum,2011,0.4181236378,13849.66861,13.84966861
Tiendega,4,14,Detarium microcarpum,2011,0.1219846943,8062.05334,8.06205334
Tiendega,4,16,Detarium microcarpum,2011,0.8055593021,25141.81238,25.14181238
Tiendega,4,20,Detarium microcarpum,2011,0.0970507159,11577.75887,11.57775887
Lakamane,1,1,Combretum glutinosum,2011,0.9378249407,16648.33572,16.64833572
Lakamane,1,2,Combretum glutinosum,2011,1.9336053553,42194.95302,42.19495302
Lakamane,1,3,Combretum glutinosum,2011,0.1938874035,8971.265862,8.971265862
Lakamane,1,6,Combretum glutinosum,2011,0.8166453136,38101.01505,38.10101505
Lakamane,1,10,Combretum glutinosum,2011,0.0621704174,14665.61595,14.66561595
Lakamane,1,12,Combretum glutinosum,2011,0.1369856655,4690.92776,4.69092776
Lakamane,1,14,Combretum glutinosum,2011,1.2170649512,31135.77759,31.13577759
Lakamane,1,15,Combretum glutinosum,2011,0.3951509582,18704.12298,18.70412298
Lakamane,1,16,Combretum glutinosum,2011,0.0937824941,12752.9811,12.7529811
Lakamane,1,19,Combretum glutinosum,2011,1.9283366759,28147.62077,28.14762077
Lakamane,2,4,Combretum glutinosum,2011,0.2581652927,6831.669625,6.831669625
Lakamane,2,5,Combretum glutinosum,2011,0.1670171383,2825.933026,2.825933026
Lakamane,2,6,Combretum glutinosum,2011,0.4952558676,9035.280049,9.035280049
Lakamane,2,7,Combretum glutinosum,2011,1.0642732473,21120.65416,21.12065416
Lakamane,2,9,Combretum glutinosum,2011,0.0837720031,4493.297336,4.493297336
Lakamane,2,12,Combretum glutinosum,2011,0.1849306484,4114.199676,4.114199676
Lakamane,2,14,Combretum glutinosum,2011,0.0979974376,5536.8525,5.5368525
Lakamane,2,18,Combretum glutinosum,2011,0.0716540404,3101.449616,3.101449616
Lakamane,2,19,Combretum glutinosum,2011,0.1475230244,11224.1307,11.2241307
Lakamane,2,20,Combretum glutinosum,2011,0.1164378157,841.1542139,0.841154214
Lakamane,3,2,Combretum glutinosum,2011,0.4004196376,44676.6052,44.6766052
Lakamane,3,5,Combretum glutinosum,2011,0.3793449198,35733.29727,35.73329727
Lakamane,3,6,Combretum glutinosum,2011,0.2370905749,7190.257528,7.190257528
Lakamane,3,7,Combretum glutinosum,2011,1.1538407979,30790.90996,30.79090996
Lakamane,3,8,Combretum glutinosum,2011,0.1765007613,3584.971678,3.584971678
Lakamane,3,11,Combretum glutinosum,2011,0.3635388815,37931.40762,37.93140762
Lakamane,3,12,Combretum glutinosum,2011,0.2534234812,14253.90699,14.25390699
Lakamane,3,13,Combretum glutinosum,2011,0.8640634285,18341.33104,18.34133104
Lakamane,3,17,Combretum glutinosum,2011,0.321389446,8641.518062,8.641518062
Lakamane,3,18,Combretum glutinosum,2011,0.0932556261,1305.113364,1.305113364
Lakamane,4,2,Combretum glutinosum,2011,0.1412006091,3584.971678,3.584971678
Lakamane,4,4,Combretum glutinosum,2011,0.6217041742,15717.42804,15.71742804
Lakamane,4,7,Combretum glutinosum,2011,0.1106422683,3101.449616,3.101449616
Lakamane,4,8,Combretum glutinosum,2011,2.3603683901,,
Lakamane,4,10,Combretum glutinosum,2011,0.453106432,12222.35288,12.22235288
Lakamane,4,12,Combretum glutinosum,2011,0.3635388815,26332.5095,26.3325095
Lakamane,4,13,Combretum glutinosum,2011,0.0964168338,12225.24999,12.22524999
Lakamane,4,16,Combretum glutinosum,2011,1.0800792857,37931.40762,37.93140762
Tiorola,1,1,Pteleopsis suberosa,2013,,5993.965207,
Tiorola,1,2,Pteleopsis suberosa,2013,,4114.199676,
Tiorola,1,4,Pteleopsis suberosa,2013,,17296.08657,
Tiorola,1,9,Pteleopsis suberosa,2013,,13849.66861,
Tiorola,1,11,Pteleopsis suberosa,2013,,9246.962883,
Tiorola,1,16,Combretum geitynophylum,2013,,2661.818786,
Tiorola,1,17,Combretum geitynophylum,2013,,9878.884407,
Tiorola,1,18,Combretum geitynophylum,2013,,19704.45635,
Tiorola,1,19,Combretum geitynophylum,2013,,21247.15253,
Tiorola,1,20,Combretum geitynophylum,2013,,19206.65891,
Tiorola,2,1,Combretum geitynophylum,2013,,8940.961859,
Tiorola,2,3,Combretum geitynophylum,2013,,15205.88973,
Tiorola,2,7,Pteleopsis suberosa,2013,,14253.90699,
Tiorola,2,8,Pteleopsis suberosa,2013,,3418.8084,
Tiorola,2,11,Pteleopsis suberosa,2013,,25141.81238,
Tiorola,2,12,Pteleopsis suberosa,2013,,1906.860947,
Tiorola,2,14,Pteleopsis suberosa,2013,,2803.598496,
Tiorola,3,1,Combretum geitynophylum,2013,,48701.75236,
Tiorola,3,2,Combretum geitynophylum,2013,,10877.49028,
Tiorola,3,3,Combretum geitynophylum,2013,,3877.562688,
Tiorola,3,9,Combretum geitynophylum,2013,,284069.258,
Tiorola,3,13,Pteleopsis suberosa,2013,,7781.907576,
Tiorola,3,15,Pteleopsis suberosa,2013,,84306.43816,
Tiorola,3,16,Pteleopsis suberosa,2013,,5993.965207,
Tiorola,3,18,Pteleopsis suberosa,2013,,21778.01276,
Tiorola,4,1,Pteleopsis suberosa,2013,,10877.49028,
Tiorola,4,2,Pteleopsis suberosa,2013,,2140.741865,
Tiorola,4,3,Combretum geitynophylum,2013,,12681.17773,
Tiorola,4,5,Combretum geitynophylum,2013,,1587.78867,
Tiorola,4,6,Pteleopsis suberosa,2013,,24559.62518,
Tiorola,4,7,Pteleopsis suberosa,2013,,19704.45635,
Tiorola,4,9,Pteleopsis suberosa,2013,,72191.32142,
Tiorola,4,15,Combretum geitynophylum,2013,,9559.583125,
Tiorola,4,18,Combretum geitynophylum,2013,,26936.25545,
Tiorola,4,19,Combretum geitynophylum,2013,,18424.4736,
Tiendega,1,3,Detarium microcarpum,2013,,22865.02265,
Tiendega,1,5,Detarium microcarpum,2013,,8641.518062,
Tiendega,1,7,Detarium microcarpum,2013,,981.4696443,
Tiendega,1,8,Detarium microcarpum,2013,,13063.36404,
Tiendega,1,10,Detarium microcarpum,2013,,51435.65579,
Tiendega,1,12,Detarium microcarpum,2013,,18716.98169,
Tiendega,1,13,Detarium microcarpum,2013,,15084.8552,
Tiendega,1,15,Detarium microcarpum,2013,,30119.27744,
Tiendega,1,16,Detarium microcarpum,2013,,18235.36628,
Tiendega,1,20,Detarium microcarpum,2013,,26332.5095,
Tiendega,2,1,Detarium microcarpum,2013,,6474.531926,
Tiendega,2,5,Detarium microcarpum,2013,,1489.614723,
Tiendega,2,7,Detarium microcarpum,2013,,13849.66861,
Tiendega,2,9,Detarium microcarpum,2013,,27558.68342,
Tiendega,2,11,Detarium microcarpum,2013,,13849.66861,
Tiendega,2,12,Detarium microcarpum,2013,,7240.475826,
Tiendega,2,15,Detarium microcarpum,2013,,3932.600747,
Tiendega,2,16,Detarium microcarpum,2013,,4301.076551,
Tiendega,2,18,Detarium microcarpum,2013,,1906.860947,
Tiendega,2,20,Detarium microcarpum,2013,,11224.1307,
Tiendega,3,2,Detarium microcarpum,2013,,15946.16279,
Tiendega,3,5,Detarium microcarpum,2013,,15084.8552,
Tiendega,3,6,Detarium microcarpum,2013,,10204.92839,
Tiendega,3,9,Detarium microcarpum,2013,,10204.92839,
Tiendega,3,10,Detarium microcarpum,2013,,3257.656781,
Tiendega,3,11,Detarium microcarpum,2013,,4301.076551,
Tiendega,3,13,Detarium microcarpum,2013,,1690.006966,
Tiendega,3,16,Detarium microcarpum,2013,,1056.893197,
Tiendega,3,17,Detarium microcarpum,2013,,1906.860947,
Tiendega,3,19,Detarium microcarpum,2013,,1796.340785,
Tiendega,4,1,Detarium microcarpum,2013,,1796.340785,
Tiendega,4,2,Detarium microcarpum,2013,,25732.75481,
Tiendega,4,4,Detarium microcarpum,2013,,30782.30688,
Tiendega,4,6,Detarium microcarpum,2013,,18235.36628,
Tiendega,4,7,Detarium microcarpum,2013,,4426.125892,
Tiendega,4,11,Detarium microcarpum,2013,,41870.81322,
Tiendega,4,15,Detarium microcarpum,2013,,50513.73145,
Tiendega,4,17,Detarium microcarpum,2013,,6231.284786,
Tiendega,4,18,Detarium microcarpum,2013,,25141.81238,
Tiendega,4,19,Detarium microcarpum,2013,,16388.34988,
Lakamane,1,4,Combretum glutinosum,2013,,5090.8613,
Lakamane,1,5,Combretum glutinosum,2013,,9632.685388,
Lakamane,1,7,Combretum glutinosum,2013,,17761.75413,
Lakamane,1,8,Combretum glutinosum,2013,,2983.202261,
Lakamane,1,9,Combretum glutinosum,2013,,56528.40065,
Lakamane,1,11,Combretum glutinosum,2013,,21514.8943,
Lakamane,1,13,Combretum glutinosum,2013,,72383.48014,
Lakamane,1,17,Combretum glutinosum,2013,,16388.34988,
Lakamane,1,18,Combretum glutinosum,2013,,49325.93634,
Lakamane,1,20,Combretum glutinosum,2013,,31454.60133,
Lakamane,2,1,Combretum glutinosum,2013,,3932.600747,
Lakamane,2,2,Combretum glutinosum,2013,,41969.11235,
Lakamane,2,3,Combretum glutinosum,2013,,9095.414823,
Lakamane,2,8,Combretum glutinosum,2013,,3418.8084,
Lakamane,2,10,Combretum glutinosum,2013,,87766.52263,
Lakamane,2,11,Combretum glutinosum,2013,,981.4696443,
Lakamane,2,13,Combretum glutinosum,2013,,6231.284786,
Lakamane,2,15,Combretum glutinosum,2013,,3418.8084,
Lakamane,2,16,Combretum glutinosum,2013,,11938.43564,
Lakamane,2,17,Combretum glutinosum,2013,,9287.616165,
Lakamane,3,1,Combretum glutinosum,2013,,7929.062062,
Lakamane,3,3,Combretum glutinosum,2013,,9878.884407,
Lakamane,3,9,Combretum glutinosum,2013,,11938.43564,
Lakamane,3,10,Combretum glutinosum,2013,,9246.962883,
Lakamane,3,14,Combretum glutinosum,2013,,16061.02954,
Lakamane,3,15,Combretum glutinosum,2013,,17767.39094,
Lakamane,3,16,Combretum glutinosum,2013,,24559.62518,
Lakamane,3,19,Combretum glutinosum,2013,,23454.23215,
Lakamane,3,20,Combretum glutinosum,2013,,1305.113364,
Lakamane,4,1,Combretum glutinosum,2013,,13063.36404,
Lakamane,4,3,Combretum glutinosum,2013,,16195.72034,
Lakamane,4,5,Combretum glutinosum,2013,,19814.29109,
Lakamane,4,6,Combretum glutinosum,2013,,37931.40762,
Lakamane,4,9,Combretum glutinosum,2013,,113284.6753,
Lakamane,4,11,Combretum glutinosum,2013,,8574.587529,
Lakamane,4,14,Combretum glutinosum,2013,,12616.00932,
Lakamane,4,15,Combretum glutinosum,2013,,23933.08972,
